yearName,regionName,expectancy,percent
1950,More developed regions,64.83,1
1955,More developed regions,67.73,1
1960,More developed regions,69.49,1
1965,More developed regions,70.33,1
1970,More developed regions,71.13,1
1975,More developed regions,72.02,1
1980,More developed regions,72.86,1
1985,More developed regions,73.95,1
1990,More developed regions,74.16,1
1995,More developed regions,74.8,1
2000,More developed regions,75.6,1
2005,More developed regions,76.93,1
2010,More developed regions,78.43,1
2015,More developed regions,79.24,1
2020,More developed regions,79.87,1
2025,More developed regions,80.6,1
2030,More developed regions,81.42,1
2035,More developed regions,82.11,1
2040,More developed regions,82.78,1
2045,More developed regions,83.44,1
2050,More developed regions,84.06,1
2055,More developed regions,84.66,1
2060,More developed regions,85.26,1
2065,More developed regions,85.87,1
2070,More developed regions,86.48,1
2075,More developed regions,87.07,1
2080,More developed regions,87.64,1
2085,More developed regions,88.18,1
2090,More developed regions,88.71,1
2095,More developed regions,89.25,1
1950,Less developed regions,41.67,1
1955,Less developed regions,44.08,1
1960,Less developed regions,46.18,1
1965,Less developed regions,51.51,1
1970,Less developed regions,54.81,1
1975,Less developed regions,57.41,1
1980,Less developed regions,59.52,1
1985,Less developed regions,61.35,1
1990,Less developed regions,62.48,1
1995,Less developed regions,63.72,1
2000,Less developed regions,65.25,1
2005,Less developed regions,67.14,1
2010,Less developed regions,69.14,1
2015,Less developed regions,70.7,1
2020,Less developed regions,71.68,1
2025,Less developed regions,72.6,1
2030,Less developed regions,73.46,1
2035,Less developed regions,74.24,1
2040,Less developed regions,74.97,1
2045,Less developed regions,75.65,1
2050,Less developed regions,76.28,1
2055,Less developed regions,76.86,1
2060,Less developed regions,77.4,1
2065,Less developed regions,77.92,1
2070,Less developed regions,78.41,1
2075,Less developed regions,78.89,1
2080,Less developed regions,79.35,1
2085,Less developed regions,79.82,1
2090,Less developed regions,80.29,1
2095,Less developed regions,80.76,1
1950,Least developed countries,36.27,1
1955,Least developed countries,38.76,1
1960,Least developed countries,41.02,1
1965,Least developed countries,43.16,1
1970,Least developed countries,44.22,1
1975,Least developed countries,45.8,1
1980,Least developed countries,48.83,1
1985,Least developed countries,50.76,1
1990,Least developed countries,51.5,1
1995,Least developed countries,53.6,1
2000,Least developed countries,56.05,1
2005,Least developed countries,59.33,1
2010,Least developed countries,62.44,1
2015,Least developed countries,64.66,1
2020,Least developed countries,66.11,1
2025,Least developed countries,67.4,1
2030,Least developed countries,68.56,1
2035,Least developed countries,69.6,1
2040,Least developed countries,70.55,1
2045,Least developed countries,71.43,1
2050,Least developed countries,72.23,1
2055,Least developed countries,72.97,1
2060,Least developed countries,73.65,1
2065,Least developed countries,74.3,1
2070,Least developed countries,74.91,1
2075,Least developed countries,75.49,1
2080,Least developed countries,76.05,1
2085,Least developed countries,76.61,1
2090,Least developed countries,77.16,1
2095,Least developed countries,77.72,1
1950,"Less developed regions, excluding least developed countries",42.47,1
1955,"Less developed regions, excluding least developed countries",44.87,1
1960,"Less developed regions, excluding least developed countries",46.94,1
1965,"Less developed regions, excluding least developed countries",52.79,1
1970,"Less developed regions, excluding least developed countries",56.51,1
1975,"Less developed regions, excluding least developed countries",59.38,1
1980,"Less developed regions, excluding least developed countries",61.39,1
1985,"Less developed regions, excluding least developed countries",63.2,1
1990,"Less developed regions, excluding least developed countries",64.5,1
1995,"Less developed regions, excluding least developed countries",65.67,1
2000,"Less developed regions, excluding least developed countries",67.07,1
2005,"Less developed regions, excluding least developed countries",68.71,1
2010,"Less developed regions, excluding least developed countries",70.51,1
2015,"Less developed regions, excluding least developed countries",71.95,1
2020,"Less developed regions, excluding least developed countries",72.87,1
2025,"Less developed regions, excluding least developed countries",73.73,1
2030,"Less developed regions, excluding least developed countries",74.53,1
2035,"Less developed regions, excluding least developed countries",75.28,1
2040,"Less developed regions, excluding least developed countries",75.98,1
2045,"Less developed regions, excluding least developed countries",76.65,1
2050,"Less developed regions, excluding least developed countries",77.27,1
2055,"Less developed regions, excluding least developed countries",77.86,1
2060,"Less developed regions, excluding least developed countries",78.42,1
