countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Kazakhstan,55.08,57.32,59.51,61.66,63.26,64.31,65.89,67.5,65.45,62.96,64.59,66.08,69.07,73.23,73.9,74.56,75.25,75.93,76.62,77.32,78.03,78.76,79.49,80.22,80.95,81.67,82.35,82.99,83.61,84.19
Kyrgyzstan,52.83,55.09,57.35,59.57,61.26,62.4,64.03,66.07,66.25,65.93,66.9,67.47,70.27,71.18,71.95,72.68,73.37,74.04,74.72,75.42,76.12,76.81,77.53,78.24,78.96,79.7,80.43,81.14,81.86,82.54
Tajikistan,48.2,49.81,51.41,52.99,55.05,56.83,57.45,59.86,57.8,60.09,64.08,67.73,69.39,70.77,71.76,72.68,73.54,74.35,75.12,75.86,76.59,77.29,78,78.7,79.39,80.08,80.76,81.43,82.08,82.73
Turkmenistan,51.29,53.42,55.52,57.61,59.17,60.22,61.77,62.84,62.7,63.18,64.23,65.87,67.3,67.98,68.63,69.24,69.84,70.42,71,71.57,72.17,72.76,73.37,74,74.64,75.28,75.93,76.6,77.28,77.96
Uzbekistan,56.07,57.91,59.76,61.62,63.03,64.01,65.3,66.58,66.27,66.72,67.73,69.1,70.23,71.53,72.04,72.56,73.08,73.61,74.15,74.7,75.26,75.85,76.42,77.03,77.64,78.27,78.9,79.55,80.22,80.87
Afghanistan,28.61,31.13,33.74,36.15,38.74,41.63,44.97,48.56,51.96,54.67,57,59.63,62.32,64.28,65.98,67.38,68.55,69.57,70.47,71.28,72.04,72.75,73.45,74.14,74.81,75.51,76.19,76.88,77.56,78.25
Bangladesh,40.54,43.86,46.66,48.63,45.81,51.57,53.84,56.7,59.9,64.01,66.6,68.83,70.79,72.15,73.57,74.83,75.95,76.98,77.96,78.88,79.77,80.64,81.45,82.25,83.01,83.73,84.38,84.98,85.55,86.08
Bhutan,32.26,33.78,35.47,38.2,41.06,43.69,47.39,50.98,54.81,58.58,63.19,67.05,69.41,71.28,72.77,73.97,75.01,75.94,76.79,77.59,78.36,79.09,79.82,80.53,81.22,81.89,82.56,83.19,83.79,84.37
India,36.98,39.93,42.94,46.1,49.37,52.51,54.91,56.69,59.12,61.47,63.5,65.53,67.77,69.27,70.42,71.43,72.32,73.12,73.89,74.62,75.34,76.05,76.75,77.45,78.16,78.87,79.57,80.29,80.98,81.68
Iran (Islamic Republic of),40.59,43.5,46.38,49.18,52.67,56.71,52.11,59.97,66.91,69.09,71.15,72.72,75.04,76.35,77.33,78.25,79.13,79.96,80.77,81.55,82.3,83.03,83.71,84.34,84.94,85.49,86.01,86.55,87.07,87.61
Maldives,34.45,36.06,38.92,42.35,46.1,50.57,55.45,59.34,63.77,68.02,72.09,74.81,76.82,78.47,79.89,81.15,82.28,83.29,84.19,84.95,85.62,86.24,86.84,87.44,88.01,88.6,89.17,89.74,90.31,90.86
Nepal,34.53,34.98,36.57,39.44,42.33,45.18,48.52,52.28,56.56,60.5,63.87,66.47,68.61,70.31,71.74,72.87,73.89,74.85,75.74,76.59,77.4,78.16,78.91,79.63,80.32,81.01,81.7,82.38,83.04,83.66
Pakistan,37.45,42.86,47.45,51.11,53.93,55.95,57.7,59.33,60.82,62.16,63.44,64.49,66.02,67.02,67.79,68.52,69.21,69.87,70.5,71.11,71.72,72.31,72.9,73.5,74.11,74.74,75.38,76.04,76.71,77.38
Sri Lanka,54.51,58.3,60.26,62.93,65.14,66.96,69.08,68.91,70.02,69.06,73.9,74.93,75.89,76.73,77.56,78.39,79.22,80.04,80.85,81.64,82.42,83.15,83.82,84.45,85.03,85.6,86.16,86.7,87.23,87.77
