countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Belarus,60.69,66.31,69.1,70.36,70.52,70.42,70.15,71.37,69.45,67.44,67.83,69.26,72.45,74.49,75.2,75.9,76.61,77.31,78.01,78.72,79.44,80.15,80.85,81.51,82.14,82.74,83.31,83.86,84.39,84.91
Bulgaria,62.32,66.77,70.27,70.9,71.07,71.1,71.24,71.4,71.12,70.97,72.2,73.14,74.25,74.85,75.49,76.14,76.79,77.43,78.1,78.76,79.43,80.11,80.78,81.45,82.11,82.73,83.32,83.89,84.42,84.93
Czechia,66.87,69.58,70.35,69.98,70.04,70.63,70.78,71.45,72.49,74.22,75.53,76.99,78.16,79.15,79.85,80.57,81.3,82.02,82.75,83.44,84.06,84.66,85.24,85.79,86.32,86.85,87.38,87.9,88.43,88.95
Hungary,64.01,66.91,68.79,69.45,69.4,69.59,69.08,69.43,69.41,70.88,72.53,73.74,75.25,76.63,77.31,78.01,78.71,79.42,80.12,80.84,81.56,82.27,82.93,83.55,84.15,84.72,85.27,85.81,86.34,86.85
Poland,61.44,65.89,68.31,69.79,70.29,70.36,70.7,70.73,71.15,72.72,74.6,75.56,77.15,78.46,79.27,80.09,80.9,81.7,82.42,83.09,83.71,84.31,84.9,85.47,86.03,86.59,87.14,87.67,88.21,88.75
Republic of Moldova,59.04,61.07,62.87,64.64,65.18,65.16,65.1,67.53,67.3,66.61,67.62,68.27,70.97,71.68,72.3,72.94,73.57,74.19,74.83,75.47,76.14,76.81,77.5,78.19,78.9,79.61,80.32,81.03,81.72,82.38
Romania,61.14,63.29,67.78,67.34,69.03,69.59,69.73,69.52,69.61,69.71,71.47,73.08,74.94,75.83,76.5,77.2,77.89,78.59,79.3,80.02,80.75,81.47,82.19,82.86,83.5,84.11,84.68,85.24,85.78,86.3
Russian Federation,58.52,64.8,67.88,68.48,68.31,67.57,67.47,69.13,66.58,65.7,64.95,67.14,70.27,72.29,72.99,73.69,74.4,75.12,75.85,76.58,77.31,78.06,78.8,79.54,80.28,81,81.67,82.31,82.92,83.5
Slovakia,64.43,68.65,70.63,70.32,70.07,70.48,70.63,70.96,71.6,72.74,73.82,74.77,76.23,77.31,78,78.71,79.43,80.16,80.89,81.6,82.3,82.97,83.59,84.17,84.74,85.28,85.82,86.34,86.85,87.36
Ukraine,61.82,67.1,69.69,70.67,70.58,69.67,69.17,70.55,68.72,67.35,67.46,67.89,70.91,71.82,72.5,73.19,73.86,74.54,75.22,75.91,76.61,77.31,78.01,78.74,79.45,80.18,80.88,81.55,82.19,82.79
Channel Islands,69.23,70.46,70.92,71.6,72.07,72.86,74.04,74.94,76.08,78.32,79.62,80.93,81.97,82.84,83.6,84.27,84.88,85.47,86.04,86.62,87.17,87.73,88.29,88.84,89.39,89.93,90.49,91.04,91.59,92.14
Denmark,71.06,72.07,72.4,72.93,73.63,74.24,74.44,74.75,75.23,76.14,77.34,78.58,80.14,80.68,81.4,82.13,82.87,83.59,84.25,84.85,85.42,85.98,86.5,87.04,87.57,88.1,88.63,89.16,89.7,90.22
