countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
China,43.83,44.47,44.55,55.47,61.68,65.51,67.75,68.92,69.37,70.58,72.26,73.68,75.14,76.62,77.47,78.31,79.13,79.94,80.73,81.52,82.28,83.02,83.72,84.36,84.96,85.52,86.04,86.56,87.08,87.61
"China, Hong Kong SAR",63.15,65.88,68.81,70.85,72.49,73.76,75.61,76.96,78.04,79.98,81.41,82.43,83.4,84.63,85.29,85.94,86.61,87.27,87.93,88.59,89.22,89.83,90.41,90.96,91.48,91.98,92.47,92.97,93.48,94.02
"China, Macao SAR",60.98,63.58,66.01,68.12,70.64,73.02,74.82,76.54,78.05,79.75,80.97,82.07,83.29,84.04,84.68,85.33,85.99,86.64,87.3,87.94,88.55,89.13,89.68,90.23,90.77,91.33,91.88,92.43,92.98,93.55
"China, Taiwan Province of China",58.16,62.92,65.01,66.91,69.33,70.78,72.13,73.36,74.42,75.22,76.94,78.2,79.26,80.19,81.04,81.88,82.69,83.44,84.11,84.74,85.33,85.92,86.49,87.04,87.6,88.15,88.71,89.26,89.81,90.36
Dem. People's Republic of Korea,37.59,49.88,51.63,57.24,61.73,65.03,67.06,68.59,70.03,63.5,68.06,68.44,70.79,71.96,72.89,73.8,74.66,75.49,76.31,77.12,77.91,78.71,79.51,80.29,81.07,81.84,82.58,83.28,83.92,84.53
Japan,62.8,66.4,69.16,71.41,73.28,75.4,77.01,78.53,79.42,80.51,81.8,82.65,83.32,84.43,85.03,85.62,86.21,86.79,87.37,87.94,88.52,89.07,89.63,90.19,90.74,91.29,91.84,92.4,92.95,93.5
Mongolia,43.18,46.09,50.73,53.87,56.43,56.85,57.3,59.6,60.77,61.82,64.08,66.14,68.47,69.55,70.53,71.48,72.38,73.25,74.1,74.93,75.76,76.57,77.37,78.19,78.99,79.79,80.58,81.36,82.1,82.8
Republic of Korea,41.93,52.87,56.26,59.29,63.1,65,67.38,70.34,72.85,74.95,77.17,79.47,81.27,82.77,83.5,84.18,84.85,85.48,86.12,86.73,87.34,87.94,88.52,89.1,89.67,90.26,90.84,91.41,91.98,92.55
Brunei Darussalam,50.93,52.48,57.47,61.09,63.89,66.38,68.28,69.54,70.83,72.11,73.46,74.43,75,75.66,76.35,77.03,77.71,78.37,79.03,79.68,80.35,81.02,81.66,82.32,82.96,83.58,84.16,84.72,85.25,85.75
Cambodia,40.32,41.05,41.39,41.97,37.84,14.49,45.08,52.04,54.27,56.41,60.78,65.12,67.61,69.44,70.54,71.52,72.39,73.22,73.97,74.7,75.41,76.11,76.8,77.47,78.16,78.85,79.53,80.22,80.9,81.56
Indonesia,41.76,45.08,48.18,51.05,54.02,56.69,59.21,61.28,63.31,65.15,66.4,68.33,70.01,71.41,72.32,73.2,74.04,74.84,75.64,76.39,77.15,77.9,78.66,79.4,80.14,80.88,81.61,82.34,83.03,83.7
Lao People's Democratic Republic,40.93,42.44,43.97,45.48,47.04,48.4,49.89,52.37,54.43,57.38,60.2,62.99,65.49,67.44,68.89,70.17,71.27,72.23,73.08,73.89,74.66,75.38,76.08,76.76,77.44,78.12,78.79,79.45,80.1,80.78
Malaysia,54.95,58.53,61.24,63.45,65.64,67.19,68.99,70.17,71.47,72.14,73.09,74.03,74.96,75.93,76.65,77.36,78.06,78.76,79.48,80.18,80.88,81.6,82.31,83,83.65,84.26,84.84,85.39,85.92,86.42
Myanmar,36.37,40.93,43.7,47.49,49.84,51.91,53.91,55.98,57.65,59.26,60.87,62.44,64.68,66.76,67.78,68.68,69.5,70.25,70.96,71.65,72.32,73,73.68,74.35,75.02,75.71,76.39,77.09,77.8,78.5
Philippines,56.49,59.83,62,62.94,63.23,63.24,64.27,65.24,67.51,68.64,68.86,69.45,70.23,71.04,71.66,72.3,72.96,73.61,74.27,74.95,75.63,76.31,77,77.7,78.42,79.14,79.86,80.59,81.3,82.01
Singapore,60.23,64.05,66.44,67.24,69.1,71.03,72.9,74.93,76.69,77.01,79.18,81.22,82.3,83.39,84.07,84.68,85.28,85.87,86.46,87.05,87.63,88.22,88.8,89.37,89.94,90.5,91.06,91.62,92.19,92.76
Thailand,50.81,53.3,56.05,58.18,60.66,63.31,65.74,69.77,70.15,70.3,71.22,73.15,75.18,76.83,77.74,78.64,79.52,80.38,81.24,82.06,82.81,83.5,84.14,84.75,85.34,85.91,86.45,87,87.55,88.09
Timor-Leste,29.97,32.48,34.98,37.49,39.95,31.18,39.92,46.45,50.46,56.68,61.14,66.16,67.67,69.15,70.18,71.1,71.91,72.66,73.38,74.08,74.75,75.43,76.09,76.75,77.42,78.09,78.75,79.42,80.1,80.77
Viet Nam,53.5,57.26,60.48,62.33,57.75,66.1,68.05,69.78,71.25,72.52,73.5,74.59,74.96,75.27,75.77,76.45,77.3,78,78.72,79.44,80.17,80.9,81.63,82.31,82.95,83.56,84.15,84.72,85.27,85.81
