countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Antigua and Barbuda,57.37,60.45,63.3,65.24,66.36,67.67,69.33,70.88,72.11,73.34,74.5,75.46,76.14,76.82,77.47,78.12,78.76,79.4,80.03,80.67,81.31,81.94,82.57,83.18,83.78,84.36,84.91,85.44,85.94,86.44
Aruba,60.44,64.38,66.58,68.22,70.04,71.55,72.87,73.32,73.56,73.69,73.97,74.67,75.37,76.08,76.79,77.49,78.2,78.89,79.57,80.25,80.91,81.58,82.25,82.89,83.5,84.08,84.64,85.17,85.68,86.16
Bahamas,63.1,64.28,65.08,65.53,66.29,67.26,67.8,69.31,70.97,71.72,72,72.01,72.47,73.73,74.28,74.85,75.42,76,76.59,77.18,77.77,78.39,79,79.64,80.28,80.93,81.59,82.23,82.87,83.47
Barbados,55.6,62.15,66.07,68.05,69.22,71.13,73.19,74.28,75.17,76.56,77.63,78.11,78.6,79.02,79.64,80.34,81.11,81.8,82.49,83.15,83.79,84.39,84.95,85.48,85.97,86.48,86.98,87.48,87.99,88.49
Cuba,59.4,62.35,65.35,68.48,70.97,73.09,74.23,74.64,74.78,76.17,77.16,78.11,78.46,78.69,79.18,79.95,80.99,81.73,82.46,83.18,83.85,84.47,85.05,85.59,86.11,86.62,87.13,87.63,88.14,88.65
Curaçao,60.65,64.34,66.48,68.16,69.91,72.15,73.66,74.44,74.54,74.58,75,76.12,77.77,78.63,79.41,80.22,81.01,81.8,82.57,83.28,83.95,84.55,85.13,85.68,86.22,86.73,87.25,87.77,88.3,88.83
Dominican Republic,45.99,49.78,53.33,56.56,59.5,61.87,63.77,65.61,67.46,68.78,70.08,71.45,72.62,73.81,74.65,75.47,76.28,77.08,77.86,78.65,79.43,80.21,80.98,81.74,82.47,83.17,83.83,84.43,85,85.56
Grenada,58.57,61.07,63.26,64.93,66.24,67.47,68.21,68.85,70.49,72.11,72.96,73.08,72.6,72.39,72.59,73.19,74.2,74.81,75.43,76.06,76.69,77.33,77.96,78.61,79.25,79.91,80.56,81.23,81.88,82.54
Guadeloupe,53.34,57.19,60.52,63.64,66.2,68.64,70.82,72.8,74.59,76.27,77.85,79.39,80.56,81.84,82.74,83.5,84.22,84.9,85.56,86.21,86.83,87.44,88.02,88.57,89.1,89.61,90.12,90.65,91.21,91.75
Haiti,37.48,40.62,42.75,44.94,47.21,50.07,51.77,53.47,55.03,56.57,57.74,59.65,61.41,63.52,64.99,66.28,67.41,68.42,69.32,70.14,70.9,71.62,72.31,72.99,73.67,74.34,75.02,75.69,76.37,77.05
Jamaica,59.55,63.63,65.53,67.22,68.6,70.18,71.32,72.37,73.91,74.13,74.12,74.15,73.98,74.33,74.88,75.48,76.13,76.71,77.3,77.89,78.5,79.12,79.74,80.37,81.01,81.65,82.3,82.92,83.53,84.11
Martinique,55.57,58.88,61.86,64.65,67.26,69.7,71.88,73.86,75.68,77.37,78.94,80.11,81.2,82.27,83.13,83.88,84.6,85.29,85.94,86.6,87.23,87.84,88.42,88.98,89.51,90.03,90.56,91.09,91.66,92.23
Puerto Rico,63.53,67.91,69.13,70.75,72.35,73.54,73.92,74.59,73.85,74.89,76.79,77.94,79.14,79.85,80.69,81.53,82.32,83.01,83.64,84.22,84.79,85.34,85.88,86.41,86.93,87.45,87.98,88.5,89.04,89.57
Saint Lucia,50.43,54.57,58.82,62.44,64.71,67.2,68.93,70.39,71.71,72.87,73.71,74.51,75.2,75.99,76.67,77.33,77.99,78.63,79.28,79.91,80.57,81.21,81.86,82.5,83.13,83.73,84.31,84.86,85.39,85.87
Saint Vincent and the Grenadines,53.47,57.45,60.76,62.83,64.52,66.44,68.67,70.18,70.74,70.7,71.01,71.64,71.89,72.36,72.98,73.63,74.25,74.89,75.53,76.18,76.8,77.44,78.09,78.75,79.4,80.07,80.74,81.41,82.08,82.74
Trinidad and Tobago,58.05,60.94,63.22,64.35,65.04,66.12,66.91,67.75,68.38,68.9,70.05,71.34,72.48,73.31,73.91,74.53,75.16,75.79,76.43,77.08,77.73,78.39,79.07,79.74,80.42,81.12,81.81,82.48,83.13,83.76
United States Virgin Islands,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.41,80.32,81.17,82.02,82.85,83.61,84.29,84.92,85.53,86.11,86.66,87.2,87.74,88.26,88.79,89.31,89.86,90.41
Belize,55.92,58.64,61.35,64.26,66.72,68.66,70.35,71.46,70.57,68.59,69.58,70.69,73.4,74.37,75.09,75.83,76.55,77.28,78.01,78.73,79.46,80.18,80.92,81.63,82.34,83,83.65,84.25,84.82,85.37
Costa Rica,56,58.75,61.99,64.61,67.18,70.52,73.45,75.11,76.08,77.04,77.81,78.42,79.16,80,80.94,81.85,82.73,83.53,84.23,84.88,85.5,86.08,86.65,87.21,87.76,88.3,88.83,89.37,89.9,90.43
El Salvador,44.62,48.13,51.59,53.94,55.76,56.22,57.16,61.57,66.08,68.02,69.57,70.62,71.82,72.99,74.06,75.07,76.04,76.97,77.89,78.78,79.66,80.51,81.33,82.1,82.81,83.45,84.06,84.65,85.23,85.78
Guatemala,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.6,66.55,68.94,70.5,72.44,73.94,75.05,76.08,77.06,78,78.92,79.79,80.65,81.49,82.31,83.07,83.79,84.44,85.06,85.64,86.18,86.72
Honduras,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.36,72.66,73.94,74.99,75.87,76.73,77.56,78.37,79.16,79.93,80.7,81.46,82.21,82.94,83.62,84.26,84.84,85.41,85.93,86.44
Mexico,50.69,55.26,58.46,60.29,62.57,65.3,67.72,69.83,71.81,73.34,75.11,75.18,74.94,74.98,75.41,76.23,77.45,78.23,79.01,79.78,80.53,81.29,82.03,82.74,83.42,84.06,84.65,85.21,85.74,86.26
Nicaragua,42.31,45.42,48.6,51.84,55.06,57.4,59.4,62.38,66.1,68.35,70.53,71.73,73.1,74.15,75.23,76.25,77.22,78.16,79.07,79.95,80.81,81.65,82.45,83.2,83.87,84.51,85.11,85.7,86.26,86.8
Panama,56.81,59.51,62.15,64.36,66.74,69.22,70.99,72.37,73.54,74.6,75.49,76.31,77.29,78.24,79.1,79.96,80.81,81.64,82.45,83.19,83.87,84.49,85.08,85.66,86.22,86.78,87.33,87.86,88.41,88.94
Argentina,62.57,64.58,65.3,65.83,67.27,68.71,70.2,71.05,72.16,73.12,74.02,74.87,75.68,76.45,77.17,77.91,78.65,79.39,80.13,80.87,81.61,82.32,83.01,83.64,84.26,84.83,85.4,85.95,86.49,87.02
Bolivia (Plurinational State of),39.64,41.04,42.67,44.54,46.67,49.07,51.71,54.59,57.66,60.89,63.94,66.62,69.26,71.08,72.35,73.47,74.46,75.39,76.26,77.09,77.89,78.67,79.43,80.17,80.91,81.64,82.34,83.01,83.62,84.19
Brazil,50.83,52.95,55.38,57.8,59.94,61.77,63.5,65.35,67.34,69.25,70.96,72.8,74.34,75.56,76.57,77.55,78.5,79.43,80.33,81.23,82.07,82.86,83.56,84.23,84.85,85.45,86.04,86.6,87.15,87.71
Chile,54.58,56.31,58.25,60.76,63.89,67.33,70.53,72.68,74.22,75.66,77.02,78.19,79.29,79.96,80.74,81.64,82.67,83.49,84.22,84.88,85.51,86.1,86.66,87.23,87.78,88.33,88.88,89.42,89.95,90.49
Colombia,51.83,55.74,58.55,60.94,63.35,65.67,68.03,69.39,70.19,72.13,73.65,74.83,75.99,77.02,77.87,78.72,79.55,80.38,81.19,81.98,82.77,83.49,84.16,84.78,85.36,85.92,86.46,87,87.54,88.07
Ecuador,48.59,51.52,54.39,56.91,59.51,62.09,64.96,67.69,69.98,71.87,73.53,74.59,75.59,76.7,77.71,78.68,79.62,80.53,81.42,82.27,83.08,83.82,84.5,85.13,85.71,86.27,86.82,87.37,87.91,88.45
French Guiana,53.32,56.14,59.53,64.37,65.73,66.54,69.2,71.06,72.75,74.24,76.29,78.04,79.31,79.73,80.53,81.45,82.46,83.26,83.98,84.65,85.28,85.89,86.48,87.06,87.62,88.18,88.72,89.27,89.81,90.35
Guyana,58.83,59.81,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,66,67.37,68.69,69.71,70.26,70.81,71.34,71.89,72.46,73.03,73.6,74.18,74.78,75.39,76.01,76.66,77.31,77.96,78.64,79.32
Paraguay,62.73,63.3,64.47,65.04,65.73,66.56,67.45,68.02,69.11,69.94,71.17,72.13,73.16,74.08,74.59,75.13,75.69,76.25,76.85,77.44,78.06,78.69,79.34,80,80.66,81.33,81.99,82.66,83.29,83.91
Peru,44.11,46.44,49.64,52.22,56.15,58.84,61.67,64.62,67.63,70.03,72.06,73.66,75.11,76.41,77.44,78.47,79.47,80.42,81.34,82.24,83.08,83.85,84.55,85.21,85.82,86.39,86.96,87.51,88.06,88.61
Suriname,55.98,58.68,60.51,62.12,63.63,64.77,66.32,67.15,67.62,67.82,68.06,69.82,70.93,71.49,72.13,72.77,73.41,74.06,74.72,75.38,76.06,76.72,77.42,78.1,78.8,79.49,80.2,80.9,81.61,82.3
Uruguay,66.11,67.11,68.34,68.55,68.77,69.59,70.98,72.12,73.03,74.23,75.23,76.38,77.05,77.7,78.43,79.17,79.92,80.67,81.43,82.16,82.83,83.46,84.06,84.64,85.21,85.76,86.31,86.85,87.39,87.94
Venezuela (Bolivarian Republic of),55.47,58.4,61.18,63.6,66.15,67.84,69.14,70.21,71.03,71.62,72.57,72.99,73.07,72.13,72.34,73.65,74.39,75.12,75.85,76.59,77.31,78.03,78.75,79.48,80.2,80.91,81.61,82.28,82.92,83.52
