regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
WORLD,900,World,0,46.96,49.37,51.18,55.43,58.09,60.27,62.07,63.71,64.56,65.63,67.05,68.92,70.88,72.28,73.16,73.99,74.79,75.49,76.15,76.77,77.35,77.9,78.41,78.91,79.39,79.85,80.31,80.78,81.24,81.7
UN development groups,1803,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
More developed regions,901,Development Group,1803,64.83,67.73,69.49,70.33,71.13,72.02,72.86,73.95,74.16,74.8,75.6,76.93,78.43,79.24,79.87,80.6,81.42,82.11,82.78,83.44,84.06,84.66,85.26,85.87,86.48,87.07,87.64,88.18,88.71,89.25
Less developed regions,902,Development Group,1803,41.67,44.08,46.18,51.51,54.81,57.41,59.52,61.35,62.48,63.72,65.25,67.14,69.14,70.7,71.68,72.6,73.46,74.24,74.97,75.65,76.28,76.86,77.4,77.92,78.41,78.89,79.35,79.82,80.29,80.76
Least developed countries,941,Development Group,902,36.27,38.76,41.02,43.16,44.22,45.8,48.83,50.76,51.5,53.6,56.05,59.33,62.44,64.66,66.11,67.4,68.56,69.6,70.55,71.43,72.23,72.97,73.65,74.3,74.91,75.49,76.05,76.61,77.16,77.72
"Less developed regions, excluding least developed countries",934,Development Group,902,42.47,44.87,46.94,52.79,56.51,59.38,61.39,63.2,64.5,65.67,67.07,68.71,70.51,71.95,72.87,73.73,74.53,75.28,75.98,76.65,77.27,77.86,78.42,78.96,79.48,79.99,80.48,80.97,81.46,81.95
"Less developed regions, excluding China",948,Development Group,1803,40.71,44.07,47.02,49.77,52.08,54.62,56.85,58.75,60.26,61.66,63.24,65.33,67.52,69.07,70.15,71.14,72.06,72.88,73.64,74.36,75.02,75.64,76.22,76.77,77.31,77.83,78.34,78.85,79.34,79.84
Land-locked Developing Countries (LLDC),1636,Special other,1803,38.7,41.2,43.73,45.85,47.71,49.34,50.91,52.56,51.58,53.06,55,58.72,62.81,65.23,66.68,67.95,69.07,70.08,70.99,71.82,72.59,73.31,74.01,74.67,75.31,75.93,76.54,77.15,77.75,78.36
Small Island Developing States (SIDS),1637,Special other,1803,49.1,52.68,55.58,58.1,60.3,61.88,63.61,64.98,66.06,67.33,68.53,69.84,71,72.12,73.04,73.96,74.84,75.56,76.19,76.74,77.24,77.72,78.16,78.6,79.04,79.46,79.88,80.29,80.71,81.15
World Bank income groups,1802,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
High-income countries,1503,Income Group,1802,64.88,67.35,68.71,69.69,70.88,72.31,73.62,74.76,75.79,76.95,78.16,79.31,80.29,80.87,81.46,82.14,82.91,83.54,84.14,84.72,85.28,85.83,86.37,86.92,87.45,87.97,88.5,89.01,89.53,90.04
Middle-income countries,1517,Income Group,1802,43.32,45.75,47.79,53.18,56.39,58.9,60.91,62.75,63.76,64.87,66.21,67.98,69.95,71.43,72.35,73.22,74.04,74.8,75.52,76.21,76.85,77.46,78.03,78.58,79.11,79.61,80.1,80.6,81.08,81.57
Upper-middle-income countries,1502,Income Group,1517,46.52,48.19,49.34,57.11,61.54,64.41,66.18,67.97,68.59,69.57,70.81,72.31,74.06,75.49,76.32,77.17,78.02,78.82,79.6,80.38,81.12,81.84,82.51,83.15,83.75,84.31,84.85,85.38,85.9,86.41
Lower-middle-income countries,1501,Income Group,1517,39.79,43.14,46.13,48.96,51.14,53.75,56.23,57.95,59.62,61.1,62.65,64.64,66.67,68.11,69.13,70.07,70.93,71.72,72.46,73.18,73.87,74.53,75.16,75.78,76.37,76.95,77.5,78.05,78.58,79.11
Low-income countries,1500,Income Group,1802,35.13,37.85,39.95,42.25,44.55,46.61,48.4,50.11,50.27,51.68,54.11,57.61,61.05,63.44,65.05,66.48,67.72,68.8,69.77,70.66,71.47,72.22,72.92,73.59,74.24,74.87,75.49,76.11,76.72,77.33
No income group available,1518,Income Group,1802,51.63,55.72,58.85,61.6,63.93,66.18,67.83,70.26,72.22,74.05,75.7,77.05,78.42,79.28,80.29,81.05,81.75,82.3,82.81,83.27,83.72,84.17,84.64,85.16,85.72,86.32,86.92,87.49,88.04,88.56
Geographic regions,1840,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Africa,903,Region,1840,37.49,40.04,42.45,44.53,46.61,48.82,50.74,52.09,51.93,52.33,53.53,56.78,60.25,62.66,64.11,65.44,66.65,67.74,68.73,69.64,70.47,71.24,71.96,72.63,73.26,73.87,74.46,75.06,75.64,76.23
Asia,935,Region,1840,42.3,44.57,46.49,52.68,56.38,59.19,61.45,63.46,64.98,66.55,68.33,70.03,71.83,73.28,74.2,75.05,75.83,76.55,77.23,77.89,78.52,79.12,79.7,80.27,80.84,81.41,81.97,82.56,83.14,83.73
