year_name,year_real
year1,1950-1955
year2,1955-1960
year3,1960-1965
year4,1965-1970
year5,1970-1975
year6,1975-1980
year7,1980-1985
year8,1985-1990
year9,1990-1995
year10,1995-2000
year11,2000-2005
year12,2005-2010
year13,2010-2015
year14,2015-2020
year15,2020-2025
year16,2025-2030
year17,2030-2035
year18,2035-2040
year19,2040-2045
year20,2045-2050
year21,2050-2055
year22,2055-2060
year23,2060-2065
year24,2065-2070
year25,2070-2075
year26,2075-2080
year27,2080-2085
year28,2085-2090
year29,2090-2095
year30,2095-2100
