countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Algeria,42.89,45,47.29,49.47,51.49,54.94,61.58,65.87,67.63,69.52,71.83,74.17,75.51,76.59,77.5,78.38,79.22,80.02,80.8,81.57,82.3,83,83.67,84.3,84.89,85.44,85.96,86.48,87.01,87.53
Egypt,41.13,46.33,49.28,51.57,52.95,56.75,59.89,63.53,65.44,67.97,68.98,69.87,70.83,71.74,72.54,73.31,74.07,74.8,75.52,76.23,76.92,77.63,78.33,79.03,79.74,80.45,81.15,81.85,82.54,83.19
Libya,36.67,38.99,46.89,53.32,58.41,62.47,65.57,67.52,69.35,70.43,71.26,72.34,71.74,72.7,73.44,74.17,74.89,75.6,76.32,77.03,77.75,78.48,79.21,79.93,80.66,81.38,82.08,82.77,83.43,84.05
Morocco,45.67,47.45,49.52,51.64,53.53,55.75,59.58,63.2,65.98,67.65,69.97,73.41,75.03,76.33,77.43,78.45,79.41,80.33,81.2,82.04,82.83,83.57,84.24,84.86,85.44,85.98,86.51,87.06,87.59,88.13
Sudan,44.54,47.08,49.22,51.24,53.06,54,54.46,55.14,56,57.58,59.46,61.62,63.76,64.95,66.09,67.16,68.14,69.04,69.89,70.67,71.42,72.12,72.8,73.48,74.15,74.82,75.5,76.19,76.87,77.57
Tunisia,38.81,40.73,43.74,48.33,54.08,59.37,64.26,67.13,70.32,72.43,73.72,74.63,75.45,76.41,77.36,78.27,79.13,79.95,80.76,81.54,82.31,83.04,83.72,84.35,84.94,85.47,85.98,86.48,86.99,87.51
Western Sahara,35.52,37.43,39.31,41.24,43.26,47.56,51.88,56.18,58.72,61.28,63.91,66.2,68.41,69.86,71.08,72.14,73.09,73.97,74.83,75.65,76.44,77.22,77.98,78.75,79.5,80.25,80.99,81.72,82.43,83.11
Armenia,62.81,64.92,67.03,69.18,70.76,70.6,70.92,68.39,68.06,70.2,72.37,72.74,73.99,74.87,75.55,76.24,76.92,77.59,78.26,78.91,79.57,80.24,80.91,81.57,82.22,82.86,83.47,84.06,84.62,85.17
Azerbaijan,58.42,60.4,61.53,62.63,63.54,63.94,64.43,65.24,64.55,66.25,67.44,70.1,71.57,72.81,73.33,73.87,74.42,75.01,75.6,76.19,76.79,77.4,78.03,78.67,79.32,79.98,80.67,81.37,82.06,82.74
Bahrain,42.99,48.48,55.3,61.09,65.37,68.36,70.48,71.83,72.89,73.92,74.92,75.69,76.41,77.1,77.73,78.36,78.98,79.61,80.25,80.9,81.54,82.16,82.77,83.36,83.94,84.48,84.99,85.47,85.92,86.4
Cyprus,66.73,68.74,70.42,71.91,73.18,74.28,75.26,76.15,76.94,77.67,78.34,78.96,79.93,80.75,81.51,82.28,83.04,83.77,84.42,85.03,85.6,86.15,86.69,87.22,87.75,88.27,88.8,89.33,89.87,90.41
Georgia,60.65,62.65,64.65,66.66,68.16,69.64,69.65,70.46,70.11,69.51,70.44,70.75,72.31,73.52,74.24,74.96,75.68,76.38,77.08,77.79,78.52,79.23,79.96,80.69,81.4,82.08,82.74,83.36,83.95,84.51
Iraq,37.94,44.92,50.88,56.35,59.51,61.72,58.54,64.14,67.33,69.02,68.77,68,69.4,70.37,71.08,71.75,72.38,73,73.59,74.18,74.79,75.4,76.01,76.64,77.27,77.92,78.57,79.21,79.87,80.54
