countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Fiji,55.47,59.58,61.54,62.48,62.51,63.47,64.51,65.39,65.24,65.22,66.19,66.38,66.95,67.27,67.91,68.63,69.45,70.1,70.73,71.35,71.95,72.55,73.15,73.76,74.39,75.02,75.66,76.33,77.01,77.68
New Caledonia,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.87,74.11,75.18,76.33,77.28,78.16,79.05,79.91,80.75,81.58,82.38,83.14,83.83,84.48,85.09,85.66,86.22,86.75,87.29,87.84,88.38
Papua New Guinea,34.05,37.46,40.44,44.07,47.74,51.16,54.03,55.63,57.32,58.74,59.8,61.32,62.73,64.15,65.22,66.16,66.98,67.72,68.41,69.05,69.66,70.27,70.82,71.38,71.93,72.48,73.02,73.59,74.15,74.73
Solomon Islands,41.94,46.07,50.16,54.14,58.14,61.33,63.21,64.06,64.79,66.49,68.38,69.89,71.43,72.77,73.38,74,74.64,75.26,75.88,76.52,77.16,77.8,78.45,79.11,79.78,80.45,81.14,81.82,82.49,83.15
Vanuatu,45.04,47.7,50.28,53.12,55.77,58.52,61.35,63.79,65.48,66.76,67.9,68.74,69.49,70.25,70.99,71.68,72.33,72.96,73.59,74.19,74.81,75.43,76.03,76.63,77.25,77.87,78.51,79.17,79.83,80.49
Guam,57.13,59.67,62.24,64.57,66.66,68.45,70,71.34,72.54,74.09,75.92,77.36,78.5,79.77,80.74,81.68,82.54,83.29,83.96,84.61,85.23,85.84,86.43,87.02,87.59,88.16,88.73,89.28,89.85,90.42
Kiribati,43.63,45.9,48.3,51.08,53.42,55.24,56.7,58.55,60.69,62.31,63.9,65.04,66.54,67.99,69.17,70.2,71.14,72.04,72.9,73.73,74.55,75.34,76.12,76.9,77.68,78.45,79.22,80,80.77,81.54
Micronesia (Fed. States of),51.3,53.42,55.62,57.8,59.85,61.7,62.76,63.29,63.89,64.23,64.98,66.02,66.89,67.7,68.27,68.82,69.37,69.88,70.39,70.87,71.34,71.82,72.3,72.81,73.32,73.86,74.4,74.97,75.56,76.14
French Polynesia,48.94,54.86,57.11,59.28,61.04,62.85,66.29,67.98,69.46,71.43,73.15,74.99,76.14,77.38,78.23,79.07,79.91,80.74,81.56,82.36,83.14,83.87,84.53,85.15,85.71,86.25,86.79,87.33,87.88,88.42
Samoa,54.47,56.17,57.61,59.11,60.78,62.58,64.48,65.77,66.76,67.86,69.67,71,72.25,73.11,73.75,74.38,75.03,75.68,76.32,76.99,77.66,78.33,79.02,79.72,80.42,81.11,81.8,82.49,83.16,83.79
Tonga,56.96,58.93,60.87,63.03,64.86,66.27,67.46,68.56,69.18,69.47,69.83,69.86,70.31,70.74,71.32,71.88,72.43,72.98,73.55,74.08,74.62,75.16,75.72,76.29,76.87,77.48,78.11,78.74,79.39,80.05
