countryName,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Burundi,39.03,40.53,42.03,43.53,44.23,46.29,47.28,48.51,47.03,47.32,51.42,55.27,58.92,61.03,62.71,64.29,65.71,66.99,68.16,69.2,70.15,71.01,71.84,72.6,73.34,74.07,74.79,75.5,76.21,76.93
Comoros,38.72,40.47,42.47,44.48,46.85,49.06,52.29,55.29,57.82,59.29,59.6,60.89,62.83,63.98,65.03,65.96,66.79,67.56,68.27,68.95,69.59,70.2,70.79,71.35,71.93,72.5,73.07,73.65,74.24,74.83
Djibouti,41.04,42.95,45.18,47.35,50.9,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.56,66.54,67.87,69.06,70.11,71.05,71.91,72.71,73.49,74.24,75,75.74,76.48,77.21,77.95,78.7,79.45,80.18
Eritrea,34.08,36.68,40.08,42.15,44.12,45.91,47.33,48.69,50.77,53.97,56.7,60.71,63.42,65.74,67.48,68.95,70.21,71.27,72.23,73.09,73.94,74.75,75.54,76.3,77.06,77.81,78.56,79.31,80.05,80.79
Ethiopia,34.08,36.68,40.08,42.14,43.52,44.26,43.52,46.15,48.07,50.7,53.61,59.08,63.7,65.97,67.81,69.37,70.7,71.84,72.84,73.77,74.63,75.47,76.27,77.06,77.83,78.6,79.35,80.11,80.85,81.59
Kenya,42.57,45.1,48.44,51.12,53.96,56.49,58.83,58.6,55.66,51.77,51.69,58.49,62.92,66.18,67.47,68.61,69.61,70.52,71.38,72.18,72.94,73.7,74.44,75.2,75.95,76.69,77.44,78.2,78.97,79.74
Madagascar,36.32,38.75,41.17,43.53,45.97,48.08,49.66,49.91,52.66,56.68,60.03,62.23,64.51,66.49,68.21,69.7,70.96,72.05,73.03,73.93,74.8,75.6,76.4,77.17,77.94,78.71,79.45,80.2,80.94,81.66
Malawi,34.85,35.99,37.38,38.59,41.07,43.25,45.12,45.85,46.14,45.55,45.61,51.31,59.56,63.43,65.62,67.5,69.1,70.45,71.62,72.69,73.68,74.59,75.48,76.34,77.16,77.98,78.79,79.58,80.37,81.14
Mauritius,50.2,55.75,61.22,62.95,63.53,65.66,68.12,68.52,70.28,70.39,72.09,72.76,74.15,74.76,75.51,76.26,77.01,77.77,78.52,79.29,80.04,80.79,81.54,82.27,82.96,83.6,84.2,84.78,85.33,85.87
Mayotte,47.26,52.81,57.07,60.71,63.87,66.61,69.02,71.14,73.09,74.86,76.47,77.95,79.34,79.35,79.85,80.84,82.29,83.11,83.83,84.5,85.14,85.75,86.33,86.91,87.48,88.05,88.6,89.14,89.67,90.2
Mozambique,35,37.99,40.49,40.92,41.91,43.46,43.48,44.35,46.29,47.95,49.88,51.09,54.21,60.05,62.13,64.01,65.68,67.13,68.4,69.54,70.54,71.46,72.31,73.14,73.94,74.73,75.51,76.27,77.02,77.79
Réunion,47.86,53.44,57.72,61.38,64.59,67.28,69.64,71.74,73.58,75.28,76.83,78.2,79.54,80.03,81.55,82.49,83.29,83.99,84.65,85.29,85.9,86.5,87.09,87.67,88.25,88.82,89.37,89.91,90.47,91.02
Rwanda,40.15,41.75,43.4,44.49,44.95,46.2,50.27,48.7,21.79,45.09,50.41,60.03,65.79,68.44,70,71.34,72.49,73.55,74.53,75.45,76.31,77.15,77.96,78.74,79.53,80.3,81.07,81.82,82.54,83.24
Seychelles,61.9,62.94,63.92,65.39,67.35,69.24,70.56,70.77,70.74,70.8,71.56,72.6,73.07,73.29,73.74,74.42,75.32,76.02,76.72,77.41,78.12,78.84,79.58,80.32,81.05,81.78,82.47,83.1,83.71,84.29
