yearName,regionName,expectancy,percent
1950,WORLD,46.96,1
1955,WORLD,49.37,1
1960,WORLD,51.18,1
1965,WORLD,55.43,1
1970,WORLD,58.09,1
1975,WORLD,60.27,1
1980,WORLD,62.07,1
1985,WORLD,63.71,1
1990,WORLD,64.56,1
1995,WORLD,65.63,1
2000,WORLD,67.05,1
2005,WORLD,68.92,1
2010,WORLD,70.88,1
2015,WORLD,72.28,1
2020,WORLD,73.16,1
2025,WORLD,73.99,1
2030,WORLD,74.79,1
2035,WORLD,75.49,1
2040,WORLD,76.15,1
2045,WORLD,76.77,1
2050,WORLD,77.35,1
2055,WORLD,77.9,1
2060,WORLD,78.41,1
2065,WORLD,78.91,1
2070,WORLD,79.39,1
2075,WORLD,79.85,1
2080,WORLD,80.31,1
2085,WORLD,80.78,1
2090,WORLD,81.24,1
2095,WORLD,81.7,1
